DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2011-0303-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Emily""",HTI,Haiti,Latin America and the Caribbean,Americas,Sud province,,,No,No,No,,,Kph,,,,2011,8.0,4.0,2011,8.0,4.0,1.0,,1500.0,,1500.0,,,,,,,76.8615953778198,"[{""adm1_code"":1416,""adm1_name"":""Sud""}]",2011-08-10,2023-09-25
2011-0303-MTQ,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Emily""",MTQ,Martinique,Latin America and the Caribbean,Americas,"Fort-de-France, La Trinite, Saint-Pierre, Le Marin provinces",,,No,No,No,,,Kph,,,,2011,8.0,3.0,2011,8.0,3.0,1.0,,,,,,,,,,,76.8615953778198,"[{""adm1_code"":61297,""adm1_name"":""Fort-de-France""},{""adm1_code"":61298,""adm1_name"":""La Trinite""},{""adm1_code"":61299,""adm1_name"":""Le Marin""},{""adm1_code"":61300,""adm1_name"":""Saint-Pierre""}]",2011-08-08,2023-09-25
2011-0303-PRI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Emily""",PRI,Puerto Rico,Latin America and the Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,,No,No,No,,,Kph,,,,2011,8.0,4.0,2011,8.0,4.0,,,,,,,,,,,,76.8615953778198,"[{""adm1_code"":2414,""adm1_name"":""Aguadilla""},{""adm1_code"":2415,""adm1_name"":""Arecibo""},{""adm1_code"":2416,""adm1_name"":""Bayamon""},{""adm1_code"":2417,""adm1_name"":""Guayama""},{""adm1_code"":2418,""adm1_name"":""Humacao""},{""adm1_code"":2419,""adm1_name"":""Mayaguez""},{""adm1_code"":2420,""adm1_name"":""Ponce""},{""adm1_code"":2421,""adm1_name"":""San Juan""}]",2011-08-10,2023-09-25
2011-0306-RUS,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,RUS,Russian Federation,Eastern Europe,Europe,Blagovechtchensk (Amurskaya Oblast province),,,No,No,No,,,Kph,,,,2011,7.0,31.0,2011,7.0,31.0,1.0,14.0,,,14.0,,,,,3000.0,3903.0,76.8615953778198,"[{""adm1_code"":2491,""adm1_name"":""Amurskaya Oblast""}]",2011-08-08,2023-09-25
2011-0320-BEL,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,BEL,Belgium,Western Europe,Europe,"Kiewit village (Limburg district, Vlaams Gewest province)",,,No,No,Yes,,,Kph,,,,2011,8.0,18.0,2011,8.0,18.0,5.0,71.0,,,71.0,,,,,99000.0,128803.0,76.8615953778198,"[{""adm2_code"":5848,""adm2_name"":""Limburg""}]",2011-08-22,2023-09-25
2011-0323-CAN,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,CAN,Canada,Northern America,Americas,"Goderich town (Huron district, Ontario province)",,,No,No,No,,300.0,Kph,,,,2011,8.0,21.0,2011,8.0,24.0,1.0,20.0,,,20.0,,,,,,,76.8615953778198,"[{""adm2_code"":12658,""adm2_name"":""Huron""}]",2012-01-03,2023-09-25
2011-0328-BHS,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,BHS,Bahamas,Latin America and the Caribbean,Americas,,,,Yes,No,No,,,Kph,,,,2011,8.0,23.0,2011,8.0,26.0,,,10000.0,,10000.0,,,,,40000.0,52042.0,76.8615953778198,"[{""adm1_code"":561,""adm1_name"":""Administrative unit not available""}]",2014-07-28,2023-09-25
2011-0328-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,CAN,Canada,Northern America,Americas,"New Brunswick,Nova Scotia, Prince Edward Island provinces",,Flood,No,No,No,,130.0,Kph,,,,2011,8.0,28.0,2011,8.0,29.0,1.0,,,,,,,,,,,76.8615953778198,"[{""adm1_code"":828,""adm1_name"":""New Brunswick / Nouveau-Brunswick""},{""adm1_code"":831,""adm1_name"":""Nova Scotia / Nouvelle-Écosse""},{""adm1_code"":834,""adm1_name"":""Prince Edward Island / Île-du-Prince-Édouard""}]",2011-08-29,2023-09-25
2011-0328-DOM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"San José de Ocoa, Peravia, San Cristobal, Santo Domingo provinces",,Flood,No,No,No,,,Kph,,,,2011,8.0,24.0,2011,8.0,24.0,4.0,,37000.0,,37000.0,,,,,30000.0,39031.0,76.8615953778198,"[{""adm1_code"":1112,""adm1_name"":""Santo Domingo""},{""adm1_code"":1124,""adm1_name"":""Peravia""},{""adm1_code"":1128,""adm1_name"":""San Cristobal""},{""adm1_code"":36857,""adm1_name"":""San José de Ocoa""}]",2012-05-23,2023-09-25
2011-0328-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,HTI,Haiti,Latin America and the Caribbean,Americas,Nord province,,"Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2011,8.0,24.0,2011,8.0,24.0,2.0,4.0,1000.0,540.0,1544.0,,,,,,,76.8615953778198,"[{""adm1_code"":1412,""adm1_name"":""Nord""}]",2011-08-25,2023-09-25
2011-0328-PRI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2011-000114,Hurricane Irene,PRI,Puerto Rico,Latin America and the Caribbean,Americas,"Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",,Flood,No,No,Yes,,130.0,Kph,,,,2011,8.0,22.0,2011,8.0,22.0,1.0,,1500.0,771.0,2271.0,,,450000.0,585468.0,500000.0,650520.0,76.8615953778198,"[{""adm1_code"":2414,""adm1_name"":""Aguadilla""},{""adm1_code"":2415,""adm1_name"":""Arecibo""},{""adm1_code"":2416,""adm1_name"":""Bayamon""},{""adm1_code"":2417,""adm1_name"":""Guayama""},{""adm1_code"":2418,""adm1_name"":""Humacao""},{""adm1_code"":2419,""adm1_name"":""Mayaguez""},{""adm1_code"":2420,""adm1_name"":""Ponce""},{""adm1_code"":2421,""adm1_name"":""San Juan""}]",2011-08-26,2023-09-25
