DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2019-9619-SWZ,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SWZ,Eswatini,Sub-Saharan Africa,Africa,"Shiselweni, Lubombo and Hhohho regions",,,No,No,No,,,Km2,,,,2019,,,2019,12.0,,,,232000.0,,232000.0,,,,,,,87.3580067738847,"[{""adm1_code"":2782,""adm1_name"":""Hhohho""},{""adm1_code"":2783,""adm1_name"":""Lubombo""},{""adm1_code"":2785,""adm1_name"":""Shiselweni""}]",2019-12-13,2023-09-25
2019-9666-ARG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2020-000031,,ARG,Argentina,Latin America and the Caribbean,Americas,"San Martín, Rivadavia, Oran departments (Salta province)",,,No,No,Yes,,,Km2,,,,2019,,,2021,12.0,,8.0,32.0,35000.0,,35032.0,,,,,,,87.3580067738847,"[{""adm2_code"":4773,""adm2_name"":""General Jose de San Martin""},{""adm2_code"":4781,""adm2_name"":""Oran""},{""adm2_code"":4783,""adm2_name"":""Rivadavia""}]",2020-03-03,2023-09-25
2019-9667-ZMB,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:OT-2019-000132,,ZMB,Zambia,Sub-Saharan Africa,Africa,"Southern, Western and parts of Lusaka, Eastern and Central provinces",,Food shortage,No,No,No,,,Km2,,,,2019,,,2020,12.0,,,,1430000.0,,1430000.0,,,,,,,87.3580067738847,,2021-03-22,2023-09-25
2020-9206-AGO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2021-000149,,AGO,Angola,Sub-Saharan Africa,Africa,"Cunene, Huila, Namibe, Cuanza Sul, Benguela, Huambo",Strong dry spell,Food shortage,No,No,No,,,Km2,,,,2020,12.0,,2022,2.0,,,,1643316.0,,1643316.0,,,,,,,88.4356408059336,"[{""adm1_code"":399,""adm1_name"":""Benguela""},{""adm1_code"":403,""adm1_name"":""Cuanza Sul""},{""adm1_code"":404,""adm1_name"":""Cunene""},{""adm1_code"":405,""adm1_name"":""Huambo""},{""adm1_code"":406,""adm1_name"":""Huila""},{""adm1_code"":413,""adm1_name"":""Namibe""}]",2021-04-13,2023-09-25
2020-9235-BFA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,Food shortage,No,No,No,,,Km2,,,,2020,,,2020,6.0,,,,2900000.0,,2900000.0,,,,,,,88.4356408059336,"[{""adm1_code"":40276,""adm1_name"":""Boucle Du Mouhoun""},{""adm1_code"":40277,""adm1_name"":""Cascades""},{""adm1_code"":40278,""adm1_name"":""Centre""},{""adm1_code"":40279,""adm1_name"":""Centre-est""},{""adm1_code"":40280,""adm1_name"":""Centre-nord""},{""adm1_code"":40281,""adm1_name"":""Centre-ouest""},{""adm1_code"":40282,""adm1_name"":""Centre-sud""},{""adm1_code"":40283,""adm1_name"":""Est""},{""adm1_code"":40284,""adm1_name"":""Hauts-bassins""},{""adm1_code"":40285,""adm1_name"":""Nord""},{""adm1_code"":40286,""adm1_name"":""Plateau Central""},{""adm1_code"":40287,""adm1_name"":""Sahel""},{""adm1_code"":40288,""adm1_name"":""Sud-ouest""}]",2020-06-10,2023-09-25
2020-9396-LSO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,LSO,Lesotho,Sub-Saharan Africa,Africa,,Prolonged dry spells and negative economic impacts of COVID-19,Food shortage,No,No,No,,,Km2,,,,2020,9.0,,2022,12.0,,,,766000.0,,766000.0,,,,,,,88.4356408059336,,2020-09-07,2023-09-25
2020-9424-MDG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2020-000231,,MDG,Madagascar,Sub-Saharan Africa,Africa,"Betioky, Ampanihy, Tuléar II, Amboasary and Bekily districts, Anosy, Androy, Atsimo Andrefana.",Insufficient rainfall,Famine|Food shortage,No,No,No,,,Km2,,,,2020,1.0,,2022,6.0,,,,1680000.0,,1680000.0,,,,,,,88.4356408059336,"[{""adm2_code"":154532,""adm2_name"":""Bekily""},{""adm2_code"":154535,""adm2_name"":""Amboasary-Atsimo""},{""adm2_code"":154538,""adm2_name"":""Ampanihy Ouest""},{""adm2_code"":154542,""adm2_name"":""Betioky Atsimo""},{""adm2_code"":154546,""adm2_name"":""Toliary-II""}]",2020-10-14,2023-09-25
2020-9538-MRT,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2020-000167|GLIDE:OT-2022-000240,,MRT,Mauritania,Sub-Saharan Africa,Africa,"Tagant, Guidimakha, Assaba, Gorgol, Hodh El Charghi Adrar, Brakna, Hodh Chargui, Hodh Ech Chargi and Hodh El Gharbi",,Food shortage,No,No,No,,,Km2,,,,2020,6.0,,2022,11.0,,,,1400000.0,,1400000.0,,,,,,,88.4356408059336,"[{""adm1_code"":2004,""adm1_name"":""Adrar""},{""adm1_code"":2005,""adm1_name"":""Assaba""},{""adm1_code"":2006,""adm1_name"":""Brakna""},{""adm1_code"":2008,""adm1_name"":""Gorgol""},{""adm1_code"":2009,""adm1_name"":""Guidimakha""},{""adm1_code"":2010,""adm1_name"":""Hodh Ech Chargi""},{""adm1_code"":2011,""adm1_name"":""Hodh El Gharbi""},{""adm1_code"":2014,""adm1_name"":""Tagant""}]",2020-12-09,2023-09-25
2020-9569-MLI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MLI,Mali,Sub-Saharan Africa,Africa,"Ménaka, Gao, Mopti, Kidal, Koulikoro and Ségou",,Food shortage,No,No,No,,,Km2,,,,2020,,,2020,12.0,,,,6800000.0,,6800000.0,,,,,,,88.4356408059336,"[{""adm1_code"":1927,""adm1_name"":""Gao""},{""adm1_code"":1930,""adm1_name"":""Koulikoro""},{""adm1_code"":1931,""adm1_name"":""Mopti""},{""adm1_code"":1932,""adm1_name"":""Segou""}]",2020-12-23,2023-09-25
2020-9570-NER,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,NER,Niger,Sub-Saharan Africa,Africa,"Diffa, Tahoua, Zinder, Maradi, Agadez, Tillabéri regions",,Food shortage,No,No,No,,,Km2,,,,2020,,,2020,12.0,23.0,,,3700000.0,,3700000.0,,,,,,,88.4356408059336,"[{""adm1_code"":2202,""adm1_name"":""Agadez""},{""adm1_code"":2203,""adm1_name"":""Diffa""},{""adm1_code"":2205,""adm1_name"":""Maradi""},{""adm1_code"":2207,""adm1_name"":""Tahoua""},{""adm1_code"":2208,""adm1_name"":""Tillaberi""},{""adm1_code"":2209,""adm1_name"":""Zinder""}]",2020-12-23,2023-09-25
2020-9582-BRA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,BRA,Brazil,Latin America and the Caribbean,Americas,"Rio Grande Do Sul, Santa Catarina",,,No,No,No,,,Km2,,,,2020,1.0,,2020,12.0,,,,,,,,,,,3000000.0,3392297.0,88.4356408059336,"[{""adm1_code"":685,""adm1_name"":""Rio Grande Do Sul""},{""adm1_code"":688,""adm1_name"":""Santa Catarina""}]",2021-01-07,2023-09-25
